leaderboard,timestamp,tier,score
leagues,2021-10-11T05:57:31Z,8,415.0
leagues,2021-10-18T06:05:09Z,8,347.0
leagues,2021-10-25T06:10:45Z,8,353.0
leagues,2021-11-01T06:31:41Z,8,279.0
leagues,2021-11-08T06:34:51Z,7,271.0
leagues,2021-11-15T06:58:48Z,7,269.0
leagues,2021-11-22T06:57:09Z,6,439.0
leagues,2021-11-29T08:11:12Z,7,442.0
leagues,2021-12-06T06:45:22Z,8,408.0
leagues,2021-12-13T06:36:07Z,8,557.0
leagues,2021-12-20T06:54:40Z,8,393.0
leagues,2021-12-27T04:55:14Z,8,375.0
leagues,2022-01-03T08:01:04Z,8,444.0
leagues,2022-01-10T06:46:30Z,8,548.0
leagues,2022-01-17T06:50:16Z,8,412.0
leagues,2022-01-24T06:45:35Z,7,459.0
leagues,2022-01-31T06:33:16Z,7,648.0
leagues,2022-02-07T06:55:19Z,8,534.0
leagues,2022-02-14T06:43:41Z,7,541.0
leagues,2022-02-21T06:42:46Z,7,506.0
leagues,2022-02-28T07:06:26Z,7,559.0
leagues,2022-03-07T06:35:18Z,8,510.0
leagues,2022-03-14T06:30:50Z,8,374.0
leagues,2022-03-21T06:43:29Z,8,615.0
leagues,2022-03-28T05:47:56Z,9,671.0
leagues,2022-04-04T05:47:36Z,9,374.0
leagues,2022-04-11T08:51:13Z,8,267.0
leagues,2022-04-18T08:01:57Z,8,477.0
leagues,2022-04-25T05:48:00Z,8,633.0
leagues,2022-05-02T07:21:29Z,8,562.0
leagues,2022-05-09T06:28:29Z,7,422.0
leagues,2022-05-16T05:43:29Z,7,604.0
leagues,2022-05-23T05:52:37Z,7,479.0
leagues,2022-05-30T05:38:44Z,8,299.0
leagues,2022-06-06T05:25:07Z,7,403.0
leagues,2022-06-13T05:51:36Z,8,464.0
leagues,2022-06-20T05:58:40Z,8,269.0
leagues,2022-06-27T05:44:45Z,7,443.0
leagues,2022-07-04T05:35:36Z,8,366.0
leagues,2022-07-11T05:50:23Z,8,315.0
leagues,2022-07-18T05:58:14Z,8,375.0
leagues,2022-07-25T06:05:05Z,8,276.0
